id,name
59, 2Pac
22, The Notorious B.I.G.
2, Jay-Z
56, Nas
45, Eminem
123, Dr. Dre
72, Kanye West
4, Lil Wayne
1421, Kendrick Lamar
69, J. Cole
20185, Travis Scott
92, Nicki Minaj
621678, Cardi B
1125517, Megan Thee Stallion
130, Drake
46, Snoop Dogg
186, Ice Cube
108, 50 Cent
2197, Future
326362, Post Malone
217208, Lil Uzi Vert
289976, Playboi Carti
12417, A$AP Rocky
685, Tyler\, The Creator
20503, Young Thug
1110328, Lil Baby
1162342, DaBaby
1801970, Pop Smoke
1237094, Juice WRLD
396565, XXXTentacion
16751, Chance the Rapper
11353, Schoolboy Q
492, Big Sean
88, Rick Ross
13, Gucci Mane
430404, 21 Savage
643, Pusha T
70, MF DOOM
7922, Logic
68, Kid Cudi
820, Mac Miller
16808, Chief Keef
21964, Lil Durk
1517491, Roddy Ricch
572354, Moneybagg Yo
610968, Lil Yachty
1124097, 6ix9ine
1770892, Lil Nas X
345077, Joyner Lucas
396, Wale
1263, Nipsey Hussle
686, Earl Sweatshirt
941, Vince Staples
1450, YG
491, Big K.R.I.T.
85, T.I.
111, Ludacris
338, Busta Rhymes
77, DMX
59, 2Pac
156, Yasiin Bey
388, Talib Kweli
20, Ghostface Killah
76, Raekwon
228, Method Man
307, RZA
507, GZA
32, Ol’ Dirty Bastard
229, Redman
1256, Ice-T
306, Slick Rick
848, LL Cool J
697237, Rakim
1269, KRS-One
161, Big Pun
83, Fat Joe
148, Nelly
1081, Flo Rida
183, Ja Rule
3, Fabolous
1, Cam’ron
34, Jadakiss
75, Styles P
1319, Meek Mill
310, Wiz Khalifa
639521, A Boogie wit da Hoodie
1583, French Montana
554, Tyga
107, Lil Jon
67, Jeezy
405, E-40
191, Too $hort
158, DJ Khaled
15369, A$AP Ferg
18047, Joey Bada$$
16690, Denzel Curry
22001, Isaiah Rashad
939, Freddie Gibbs
53774, Conway the Machine
451539, Westside Gunn
1169925, Benny the Butcher
162126, Kodak Black
1308, Hopsin
1086436, Trippie Redd
1745, Childish Gambino
1529, Missy Elliott
448, Lauryn Hill
411, Lil’ Kim
204, Foxy Brown
2274, Remy Ma
1240328, Saweetie
139478, Doja Cat
2664808, Ice Spice
1517379, Sexyy Red
1277050, City Girls
14598, Iggy Azalea
339543, Young M.A
881997, Rico Nasty
565305, Tierra Whack
1649468, Flo Milli
331400, Kash Doll
48449, Noname
5996, Gangsta Boo
282208, Latto
166056, Little Simz
273084, BIA
324667, JID
2049, Ab-Soul
